k,age,sex,bmi,bp,s1,s2,s3,s4,s5,s6
10,-7.6521913198205755,-251.2456983978757,536.8014722030672,348.8690551491442,-1018.8909386494353,647.9195742211562,223.16186697948834,287.49741592977557,851.2041975192137,10.263575164349692
9,0.0,-251.79997919995972,536.4182680410438,347.1314805659218,-1017.9165658554455,646.463871025871,222.16805312687353,287.5772069497198,850.0126063409767,9.139098866878124
8,0.0,-251.55264285074693,537.8849785028974,348.60226338356705,-1018.5944080785873,647.1535838830313,223.29528590991524,289.7742700648803,852.1695254206944,0.0
7,0.0,-255.80902961462374,535.9367395878687,348.3027437302101,-631.7374198605298,369.5604604342132,0.0,181.72791965067282,717.6759188436428,0.0
6,0.0,-243.55051446359946,537.1887836549283,339.2675977185927,-824.7602959160542,616.9876811052815,0.0,0.0,854.2631602675573,0.0
5,0.0,0.0,572.4757987995769,292.76169232718445,-597.7397283969515,406.2280484424102,0.0,0.0,769.4690104517507,0.0
4,0.0,0.0,654.3953832098434,0.0,-546.6961258692614,399.48377329110525,0.0,0.0,827.8928234530175,0.0
3,0.0,0.0,703.6552359744253,0.0,-149.46065195723202,0.0,0.0,0.0,720.5037056453086,0.0
2,0.0,0.0,702.1927277954958,0.0,0.0,0.0,0.0,0.0,643.3108764658301,0.0
1,0.0,0.0,986.903173196918,0.0,0.0,0.0,0.0,0.0,0.0,0.0
