k,R^2,features
10,0.36043722851854887,"['age', 'sex', 'bmi', 'bp', 's1', 's2', 's3', 's4', 's5', 's6']"
9,0.36041703031338423,"['sex', 'bmi', 'bp', 's1', 's2', 's3', 's4', 's5', 's6']"
8,0.3588383579127836,"['sex', 'bmi', 'bp', 's1', 's2', 's3', 's4', 's5']"
7,0.36529001480056755,"['sex', 'bmi', 'bp', 's1', 's2', 's4', 's5']"
6,0.36939072112482707,"['sex', 'bmi', 'bp', 's1', 's2', 's5']"
5,0.36449361380102074,"['bmi', 'bp', 's1', 's2', 's5']"
4,0.3453728224931355,"['bmi', 's1', 's2', 's5']"
3,0.3558932578215046,"['bmi', 's1', 's5']"
2,0.32453342474631175,"['bmi', 's5']"
1,0.2402796179787624,['bmi']
